Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,Discordo plenamente,Discordo plenamente,Discordo plenamente,Muito ruim,Muito ruim,Muito ruins,Muito ruim,Muito ruim,Muito ruim,Muito ruins
Docente,Muzambinho,,,Concordo plenamente,Concordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Regulares,Bom,Regular,Regular,Regulares
TAE,Pouso Alegre,,,Concordo,Discordo plenamente,Não concordo nem discordo,Não sei responder,Não sei responder,Regulares,Bom,Bom,Regular,Não sei responder
TAE,Machado,,,Concordo,Discordo,Não concordo nem discordo,Regular,Não sei responder,Bons/Boas,Não sei,Bom,Não sei,Regulares
TAE,Três Corações,,,Concordo,Prefiro não responder,Prefiro não responder,Regular,Ruim,Não sei responder,Bom,Bom,Bom,Não sei responder
Docente,Carmo de Minas,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Bom,Boas
TAE,Inconfidentes,,,Concordo,Não concordo nem discordo,Concordo,Regular,Regular,Regulares,Regular,Regular,Regular,Boas
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Não sei,Não sei,Não sei,Regulares
Docente,Machado,,,Discordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Ruim,Bom,Regular,Regulares
TAE,Poços de Caldas,,,Concordo plenamente,Discordo,Concordo plenamente,Não sei responder,Não sei responder,Bons/Boas,Bom,Muito ruim,Muito ruim,Muito ruins
Docente,Muzambinho,,,"Não concordo, nem discordo",Não concordo nem discordo,Discordo plenamente,Bom/Boa,Ruim,Muito ruins,Bom,Regular,Regular,Muito ruins
Discente do Superior,Inconfidentes,6°,Engenharia Agronômica,Concordo,Discordo,Não concordo nem discordo,Bom/Boa,Regular,Muito Bons/Boas,Bom,Não sei,Bom,Regulares
TAE,Pouso Alegre,,,Concordo plenamente,Concordo,Concordo,Não sei responder,Não sei responder,Não sei responder,Bom,Bom,Bom,Boas
TAE,Machado,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Ruim,Boas
TAE,Machado,,,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Não sei,Boas
TAE,Machado,,,Concordo plenamente,Não concordo nem discordo,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Não sei,Prefiro não responder
TAE,Inconfidentes,,,Concordo plenamente,Concordo,Não sei responder,Ruim,Regular,Prefiro não responder,Muito bom,Prefiro não responder,Bom,Regulares
Docente,Muzambinho,,,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Prefiro não responder,Prefiro não responder,Regulares
Discente do Superior,Inconfidentes,4°,Engenharia Agronômica,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Bom,Bom,Bom,Regulares
Docente,Muzambinho,,,Concordo,Concordo plenamente,Concordo,Ruim,Não se aplica,Regulares,Bom,Bom,Regular,Boas
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Bom,Regular,Regular,Regulares
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Concordo plenamente,Discordo plenamente,Concordo plenamente,Muito Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Não sei,Não sei,Muito boas
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Muito boa,Não se aplica,Ruim,Ruim,Muito ruim,Prefiro não responder
TAE,Poços de Caldas,,,Concordo,Concordo,Concordo,Regular,Muito boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,2°,Bacharelado Sistemas de Informação,Concordo plenamente,Prefiro não responder,Prefiro não responder,Bom/Boa,Não sei responder,Muito Bons/Boas,Não sei,Não sei,Não sei,Regulares
Docente,Muzambinho,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Não sei responder,Bom,Bom,Bom,Regulares
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Não sei,Não sei,Não sei,Regulares
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Concordo,Não sei responder,Não sei responder,Muito Bom/Boa,Boa,Não sei responder,Muito bom,Não sei,Bom,Boas
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Não sei responder,Bom,Bom,Bom,Boas
Discente do Superior,Machado,6°,Bacharelado Sistemas de Informação,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Não sei responder,Não sei,Não sei,Não sei,Regulares
Docente,Machado,,,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Bom,Não sei,Boas
Discente do Técnico,Machado,3°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Discordo plenamente,Discordo plenamente,Ruim,Regular,Regulares,Regular,Ruim,Muito ruim,Muito ruins
TAE,Pouso Alegre,,,Concordo plenamente,Não concordo nem discordo,Concordo plenamente,Bom/Boa,Não sei responder,Regulares,Muito bom,Bom,Bom,Não sei responder
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Concordo,Discordo,Não concordo nem discordo,Regular,Não sei responder,Bons/Boas,Regular,Regular,Regular,Boas
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Discordo,Discordo plenamente,Não concordo nem discordo,Regular,Muito ruim,Regulares,Regular,Regular,Regular,Boas
TAE,Muzambinho,,,Concordo,Discordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,Concordo,Concordo,Concordo,Bom/Boa,Prefiro não responder,Bons/Boas,Bom,Bom,Bom,Prefiro não responder
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não sei responder,Não se aplica,Não sei responder,Não sei,Não sei,Não sei,Não sei responder
TAE,Poços de Caldas,,,Concordo plenamente,Não sei responder,Concordo plenamente,Regular,Não sei responder,Ruins,Regular,Não sei,Ruim,Boas
TAE,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Não se aplica,Não se aplica,Prefiro não responder,Não sei,Não sei,Não sei,Não sei responder
TAE,Machado,,,Concordo plenamente,Concordo,Concordo plenamente,Regular,Não sei responder,Ruins,Ruim,Muito ruim,Muito ruim,Regulares
Discente do Técnico,Machado,1°,Técnico em Informática | Integrado,Concordo plenamente,Concordo,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Bom,Boas
Docente,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Não sei responder,Regulares,Bom,Bom,Bom,Regulares
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Concordo,Discordo,Discordo,Regular,Regular,Bons/Boas,Bom,Ruim,Não sei,Regulares
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Regular,Regular,Ruim,Regulares
TAE,Pouso Alegre,,,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Não sei responder,Regulares,Bom,Bom,Regular,Regulares
TAE,Inconfidentes,,,Concordo plenamente,Discordo,Discordo,Regular,Boa,Bons/Boas,Bom,Bom,Regular,Regulares
Discente do Superior,Inconfidentes,6°,Tecnologia em Gestão Ambiental,Concordo plenamente,Discordo plenamente,Discordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito ruim,Regular,Muito boas
Docente,Machado,,,Discordo,Não concordo nem discordo,Discordo,Ruim,Boa,Regulares,Bom,Bom,Regular,Regulares
Discente do Técnico,Machado,2°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Regular,Ruim,Muito ruins,Regular,Muito ruim,Muito ruim,Ruins
Discente do Técnico,Inconfidentes,2°,Técnico em Meio Ambiente | Integrado,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Bom,Muito bom,Boas
TAE,Machado,,,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Não sei responder,Regulares,Não sei,Não sei,Não sei,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Bom,Muito boas
TAE,Carmo de Minas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Prefiro não responder,Bons/Boas,Bom,Bom,Prefiro não responder,Boas
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Docente,Carmo de Minas,,,Concordo,Discordo,Discordo,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Regular,Boas
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Muito Bons/Boas,Muito ruim,Regular,Ruim,Regulares
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Inconfidentes,6°,Tecnologia em Gestão Ambiental,"Não concordo, nem discordo",Discordo,Discordo,Bom/Boa,Boa,Regulares,Não sei,Não sei,Regular,Regulares
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Ruim,Regulares,Regular,Regular,Regular,Ruins
TAE,Poços de Caldas,,,Concordo,Não concordo nem discordo,Concordo plenamente,Não sei responder,Não sei responder,Regulares,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Não sei responder,Concordo plenamente,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Regular,Bom,Muito bom,Regulares
Docente,Carmo de Minas,,,Concordo,Concordo plenamente,Concordo,Muito Bom/Boa,Prefiro não responder,Bons/Boas,Bom,Bom,Regular,Boas
Docente,Carmo de Minas,,,Discordo plenamente,Concordo plenamente,Não concordo nem discordo,Regular,Muito ruim,Não sei responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Ruins
Docente,Machado,,,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Regular,Boas
Docente,Muzambinho,,,Concordo,Concordo,Discordo,Bom/Boa,Prefiro não responder,Muito ruins,Bom,Não sei,Bom,Não sei responder
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Regular,Regulares,Regular,Bom,Bom,Regulares
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Informática - Presencial | Integrado,Discordo,Não sei responder,Não sei responder,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Bom,Boas
Discente do Técnico,Três Corações,2°  ,Técnico em Administração | Integrado,Concordo plenamente,Concordo,Concordo,Bom/Boa,Não se aplica,Muito Bons/Boas,Não sei,Não sei,Não sei,Muito ruins
Docente,Carmo de Minas,,,Discordo,Concordo,Concordo,Regular,Não se aplica,Muito Bons/Boas,Muito ruim,Não sei,Não sei,Muito boas
Discente do Superior,Inconfidentes,10°,Engenharia Ambiental,Discordo,Discordo,Discordo,Muito Bom/Boa,Regular,Muito Bons/Boas,Bom,Ruim,Muito ruim,Boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Desenvolvimento de Sistemas - EaD | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Não se aplica,Não se aplica,Não se aplica,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Informática - Presencial | Integrado,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Boa,Regulares,Bom,Regular,Muito ruim,Boas
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Muzambinho,1°  ,Técnico em Informática | Integrado,Concordo,Concordo plenamente,Não concordo nem discordo,Regular,Muito boa,Muito Bons/Boas,Bom,Muito bom,Muito bom,Regulares
Discente do Técnico,Carmo de Minas,2°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
TAE,Poços de Caldas,,,Concordo,Concordo,Concordo,Não sei responder,Não sei responder,Bons/Boas,Bom,Não sei,Bom,Boas
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,Discordo,Concordo,Discordo,Muito Bom/Boa,Regular,Regulares,Ruim,Não sei,Muito bom,Não sei responder
Discente do Técnico,Três Corações,3°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Não sei,Muito bom,Boas
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Regulares,Bom,Bom,Bom,Regulares
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Regular,Regular,Regular,Regulares
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Regular,Muito ruins,Bom,Bom,Bom,Regulares
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Não sei responder,Não sei responder,Bom/Boa,Boa,Regulares,Muito bom,Bom,Bom,Muito boas
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Bom,Muito bom,Muito boas
TAE,Machado,,,Concordo,Não concordo nem discordo,Concordo plenamente,Não sei responder,Não sei responder,Não sei responder,Bom,Não sei,Não sei,Regulares
Discente do Técnico,Carmo de Minas,3°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Não sei,Ruim,Regulares
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Regular,Muito Bons/Boas,Não sei,Não sei,Ruim,Não sei responder
Discente do Superior,Inconfidentes,10°,Engenharia Ambiental,"Não concordo, nem discordo",Concordo plenamente,Não concordo nem discordo,Ruim,Boa,Bons/Boas,Bom,Muito ruim,Muito bom,Regulares
Discente do Superior,Inconfidentes,6°,Engenharia Ambiental,Discordo,Não concordo nem discordo,Discordo,Regular,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Inconfidentes,4°,Engenharia Ambiental,Discordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Muito Bons/Boas,Bom,Bom,Regular,Boas
Discente do Superior,Inconfidentes,8°,Engenharia Ambiental,Concordo plenamente,Discordo,Discordo,Muito Bom/Boa,Muito ruim,Muito Bons/Boas,Bom,Muito ruim,Regular,Ruins
Discente do Técnico,Três Corações,1°  ,Técnico em Informática | Integrado,Concordo,Concordo plenamente,Concordo,Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Inconfidentes,4°,Engenharia Ambiental,Concordo plenamente,Concordo,Não sei responder,Regular,Regular,Bons/Boas,Muito bom,Muito ruim,Prefiro não responder,Não sei responder
Discente do Superior,Inconfidentes,4°,Engenharia Ambiental,Discordo,Discordo,Discordo,Muito Bom/Boa,Regular,Bons/Boas,Muito bom,Bom,Muito bom,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Concordo,Discordo,Regular,Boa,Bons/Boas,Muito bom,Não sei,Regular,Regulares
Discente do Superior,Inconfidentes,10°,Engenharia Ambiental,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Não sei,Não sei,Não sei,Boas
Discente do Superior,Inconfidentes,6°,Licenciatura em Matemática,Concordo plenamente,Concordo,Concordo plenamente,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Docente,Poços de Caldas,,,Discordo plenamente,Concordo,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Muzambinho,1°,Técnico em Enfermagem | Subsequente,Concordo,Discordo plenamente,Discordo plenamente,Bom/Boa,Ruim,Regulares,Regular,Regular,Regular,Muito ruins
Docente,Machado,,,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Não sei responder
Discente do Técnico,Três Corações,3°  ,Técnico em Informática | Integrado,Concordo,Concordo plenamente,Discordo,Muito Bom/Boa,Boa,Bons/Boas,Regular,Muito bom,Bom,Não sei responder
Docente,Machado,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Bom,Muito bom,Bom,Muito boas
Discente do Superior,Poços de Caldas,2°,Bacharelado Administração,Concordo plenamente,Concordo,Não concordo nem discordo,Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Muito bom,Muito bom,Boas
Discente do Superior,Inconfidentes,10°,Engenharia Ambiental,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Não sei,Não sei,Bom,Boas
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo plenamente,Discordo,Discordo,Regular,Regular,Regulares,Regular,Regular,Muito ruim,Muito ruins
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Ruins,Bom,Regular,Regular,Ruins
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Ruim,Regulares,Muito ruim,Muito ruim,Regular,Regulares
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Muito bom,Bom,Regulares
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo,Concordo,Discordo,Bom/Boa,Regular,Regulares,Regular,Regular,Regular,Ruins
Docente,Machado,,,Concordo,Não concordo nem discordo,Discordo plenamente,Bom/Boa,Boa,Regulares,Bom,Ruim,Prefiro não responder,Regulares
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Ruim,Bons/Boas,Bom,Não sei,Não sei,Muito ruins
Discente do Superior,Machado,8°,Bacharelado Agronomia,Discordo,Discordo,Discordo,Bom/Boa,Regular,Bons/Boas,Ruim,Não sei,Não sei,Regulares
Discente do Superior,Machado,8°,Bacharelado Agronomia,"Não concordo, nem discordo",Não concordo nem discordo,Concordo,Ruim,Ruim,Regulares,Muito bom,Regular,Ruim,Regulares
Discente do Superior,Machado,8°,Bacharelado Agronomia,"Não concordo, nem discordo",Discordo plenamente,Discordo plenamente,Regular,Muito ruim,Regulares,Regular,Ruim,Ruim,Ruins
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo plenamente,Discordo,Discordo,Regular,Muito ruim,Regulares,Bom,Bom,Bom,Muito ruins
Discente do Superior,Machado,8°,Bacharelado Agronomia,"Não concordo, nem discordo",Concordo,Discordo,Regular,Ruim,Bons/Boas,Bom,Ruim,Muito ruim,Ruins
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Bons/Boas,Bom,Não sei,Não sei,Ruins
Discente do Superior,Machado,8°,Bacharelado Agronomia,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Ruim,Ruim,Regulares,Ruim,Regular,Muito ruim,Regulares
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo plenamente,Concordo,Discordo,Regular,Regular,Regulares,Bom,Bom,Não sei,Regulares
Discente do Superior,Muzambinho,6°,Bacharelado Medicina Veterinária,Discordo plenamente,Discordo plenamente,Discordo plenamente,Regular,Regular,Ruins,Ruim,Ruim,Ruim,Ruins
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo plenamente,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,Discordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Ruim,Regulares,Não sei,Não sei,Regular,Regulares
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Regular,Ruim,Regulares,Muito ruim,Ruim,Muito ruim,Muito ruins
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo,Concordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo,Concordo,Concordo,Não se aplica,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Inconfidentes,8°,Engenharia Ambiental,Concordo,Concordo,Concordo,Muito Bom/Boa,Ruim,Muito Bons/Boas,Ruim,Bom,Bom,Regulares
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo plenamente,Discordo,Concordo,Regular,Regular,Bons/Boas,Ruim,Bom,Regular,Ruins
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Ruim,Bons/Boas,Bom,Bom,Bom,Regulares
Discente do Técnico,Muzambinho,3°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo plenamente,Discordo,Bom/Boa,Regular,Regulares,Muito bom,Regular,Regular,Muito ruins
